Product,Date,Seller,Price
Apple Watch Ultra 2,2026-01-05,eBay_itm_204961449144,579.0
Apple Watch Ultra 2,2026-01-05,Our company,839.99
Apple Watch Ultra,2026-01-05,eBay_itm_406469760402,658.0
Apple Watch Ultra,2026-01-05,Our company,689.99
Garmin Epix™ Pro Gen 2,2026-01-05,eBay_itm_205878594080,759.0
Garmin Epix™ Pro Gen 2,2026-01-05,Our company,699.99
Garmin Venu 3S,2026-01-05,eBay_itm_236505482404,379.99
Garmin Venu 3S,2026-01-05,Our company,389.99
Garmin Venu 3,2026-01-05,eBay_itm_357971644661,359.99
Garmin Venu 3,2026-01-05,Our company,409.99
Garmin fēnix® 7X Pro,2026-01-05,eBay_itm_389271094273,520.0
Garmin fēnix® 7X Pro,2026-01-05,Our company,699.99
Garmin fēnix® 7 Pro,2026-01-05,eBay_itm_389351720940,1099.8
Garmin fēnix® 7 Pro,2026-01-05,Our company,619.99
Garmin Forerunner 965,2026-01-05,eBay_itm_376765495497,887.9
Garmin Forerunner 965,2026-01-05,Our company,559.99
Garmin Forerunner 255,2026-01-05,eBay_itm_227102252105,219.5
Garmin Forerunner 255,2026-01-05,Our company,239.99
Withings ScanWatch 2,2026-01-05,eBay_itm_405711426288,358.0
Withings ScanWatch 2,2026-01-05,Our company,129.99
